Sample	lon	lat	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_12	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
98N2039	-72.539014	48.829764	1.320833335	10.74166648	22.75776851	1297.578961	21.89999962	-25.29999924	47.19999886	14.86666663	-14.35	16.14999978	-15.89999994	847	110	44	27.50078945	291	148	283	164
98N2042	-72.539014	48.829764	1.320833335	10.74166648	22.75776851	1297.578961	21.89999962	-25.29999924	47.19999886	14.86666663	-14.35	16.14999978	-15.89999994	847	110	44	27.50078945	291	148	283	164
98N2047	-72.539014	48.829764	1.320833335	10.74166648	22.75776851	1297.578961	21.89999962	-25.29999924	47.19999886	14.86666663	-14.35	16.14999978	-15.89999994	847	110	44	27.50078945	291	148	283	164
98N2051	-72.539014	48.829764	1.320833335	10.74166648	22.75776851	1297.578961	21.89999962	-25.29999924	47.19999886	14.86666663	-14.35	16.14999978	-15.89999994	847	110	44	27.50078945	291	148	283	164
98N2055	-72.539014	48.829764	1.320833335	10.74166648	22.75776851	1297.578961	21.89999962	-25.29999924	47.19999886	14.86666663	-14.35	16.14999978	-15.89999994	847	110	44	27.50078945	291	148	283	164
98N2058	-72.539014	48.829764	1.320833335	10.74166648	22.75776851	1297.578961	21.89999962	-25.29999924	47.19999886	14.86666663	-14.35	16.14999978	-15.89999994	847	110	44	27.50078945	291	148	283	164
98N2061	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
98N2064	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
98N2065	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
98N2072	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
